Species,Order,Mass (g),Tb (°C),Tlc (°C),BMR (mlO2/hour),CMIN ,BMR residuals,CMIN residuals,A,I,References
Rissa tridactyla,Charadriiformes,365,40.2,5,569.8,16.19,0.28,-0.01,-0.29,0.04,
Sterna fuscata,Charadriiformes,176.75,39.3,28,137.7,12.19,-0.14,0.03,0.17,0.16,
Uria lomvia,Charadriiformes,819,39.6,2,872.4,23.2,0.24,-0.03,-0.27,0.12,
Bubulcus ibis,Ciconiiformes,299.2,40,25,171.6,11.44,-0.19,-0.12,0.07,0,
Egretta thula,Ciconiiformes,314,40.2,26,233.7,16.46,-0.07,0.03,0.1,0.3,
Egretta tricolor,Ciconiiformes,309,40.4,29,292.5,25.66,0.03,0.23,0.2,1,
Colius colius,Coliiformes,40.2,37,29,30.6,3.83,-0.38,-0.15,0.23,0,
Colius striatus,Coliiformes,51,39,25,40.6,2.9,-0.32,-0.32,0,1,
Urocolius macrourus,Coliiformes,51.3,40.6,29,38.5,3.32,-0.34,-0.27,0.07,0,
Caloenas nicobarica,Columbiformes,613,40.9,25,312.1,19.63,-0.13,-0.04,0.09,0,
Columba livia,Columbiformes,467,41.6,23,247.6,13.31,-0.15,-0.15,0,1,
Columba vitiensis,Columbiformes,467.9,39.9,22,248.3,13.87,-0.15,-0.13,0.02,0,
Columbina inca,Columbiformes,41.5,40.2,32,44.9,5.48,-0.22,0,0.22,0,
Drepanoptila holosericea,Columbiformes,198,39,27,142,11.83,-0.16,-0.01,0.15,0,
Ducula bicolor,Columbiformes,453,40.9,26,234.7,15.75,-0.17,-0.07,0.1,0,
Ducula pacifica,Columbiformes,333.4,39.8,27.5,135.8,11.04,-0.32,-0.16,0.16,0,
Ducula pinon,Columbiformes,583.8,39.7,23,306.4,18.35,-0.12,-0.06,0.06,0,
Ducula pistrinaria,Columbiformes,394.2,40.8,27,184.5,13.37,-0.23,-0.11,0.12,0,
Ducula rubricera,Columbiformes,418.8,40.8,24,234.7,13.97,-0.15,-0.11,0.04,0,
Ducula rufigaster,Columbiformes,376.7,40.6,26,218.9,14.99,-0.15,-0.05,0.1,0,
Ducula zoeae,Columbiformes,456.2,40.2,19,293,13.82,-0.07,-0.13,-0.06,1,
Geopelia cuneata,Columbiformes,39,39,34,45.9,9.18,-0.19,0.24,0.43,0.55,
Geophaps plumifera,Columbiformes,89,40.5,33,72.7,9.69,-0.22,0.08,0.3,0.26,
Goura cristata,Columbiformes,2313.4,40.9,19,734.2,33.53,-0.13,-0.1,0.03,0,
Gymnophaps albertisii,Columbiformes,241.6,39.2,22,162.5,9.45,-0.15,-0.15,0,1,
Hemiphaga novaeseelandiae,Columbiformes,435.6,40.4,20,324.1,15.89,-0.02,-0.06,-0.04,1,
Leucosarcia melanoleuca,Columbiformes,468,40.7,24,287.8,17.23,-0.09,-0.04,0.05,0,
Oena capensis,Columbiformes,36,39,32,42.1,6.01,-0.21,0.07,0.28,0.25,
Ptilinopus melanospilus,Columbiformes,98,38.9,30,84.1,9.45,-0.19,0.05,0.24,0.19,
Ptilinopus perlatus,Columbiformes,196,39.5,24,182.6,11.78,-0.04,-0.01,0.03,0,
Zenaida macroura,Columbiformes,91.4,40.5,30,111.4,10.61,-0.04,0.11,0.15,0.74,
Aceros plicatus,Coraciiformes,1965,40.1,16,929.7,38.58,0.02,-0.01,-0.03,0.23,
Dacelo novaeguineae,Coraciiformes,336,37,20,192.2,11.31,-0.17,-0.15,0.02,0,
Phoeniculus purpureus,Coraciiformes,72.19,39.3,23.1,113.8,7.02,0.03,-0.02,-0.05,0.34,
Todus mexicanus,Coraciiformes,6.3,36.7,29,19.6,2.55,-0.05,0.08,0.13,0.62,
Guira guira,Cuculiformes,140,40,27,185.9,14.3,0.06,0.15,0.09,1,
Daptrius ater,Falconiformes,362,39.1,19.5,206.5,10.54,-0.16,-0.2,-0.04,1,
Falco rupicoloides,Falconiformes,214,40,15,247.5,9.9,0.06,-0.11,-0.17,0.64,
Falco sparverius,Falconiformes,116,40.2,25,113.8,7.49,-0.1,-0.09,0.01,0,
Alectoris chukar,Galliformes,475,40.7,24,337.5,20.21,-0.02,0.03,0.05,0.58,
Callipepla gambelii,Galliformes,125.5,40,34,130,21.67,-0.07,0.35,0.42,0.83,
Coturnix chinensis,Galliformes,44.9,39,27,63.1,5.26,-0.09,-0.04,0.05,0,
Coturnix coturnix,Galliformes,97,41.8,16,153.4,5.95,0.08,-0.15,-0.23,0.66,
Coturnix japonica,Galliformes,166,39.5,25,255.7,17.63,0.15,0.2,0.05,1,
Coturnix pectoralis,Galliformes,95.8,41.6,27,109.5,7.5,-0.07,-0.05,0.02,0,
Lagopus leucura,Galliformes,326,39.9,6,406.3,11.99,0.16,-0.12,-0.28,0.42,
Leipoa ocellata,Galliformes,1390,39.7,22,691.2,39.05,-0.01,0.08,0.09,0.88,
Syrmaticus humiae,Galliformes,398.83,40.36,24.5,773.9,48.8,0.39,0.45,0.06,1,
Aramides cajanea,Gruiformes,374.3,40.2,30,265.3,26.01,-0.06,0.19,0.25,0.76,
Fulica atra,Gruiformes,387,39.6,20,404.9,20.66,0.11,0.08,-0.03,0,
Gallinula mortierii,Gruiformes,954.4,39.4,15,548.3,22.47,-0.01,-0.08,-0.07,1,
Gallinula tenebrosa,Gruiformes,512.4,39.4,17,402.5,17.97,0.03,-0.04,-0.07,0.58,
Gallinula ventralis,Gruiformes,309.2,39.7,20,277.7,14.1,0.01,-0.03,-0.04,0.78,
